Designator,Mid X,Mid Y,Layer,Rotation
ATTINY841-1N1,215.2,-298.6,Top,180
ATTINY841-1P1,83.8,-289.5,Top,0
ATTINY841-2N1,84.3,-255.5,Top,0
ATTINY841-2P1,215.9,-264.6,Top,180
ATTINY841-3N1,215,-230.6,Top,180
ATTINY841-3P1,83.3,-221.5,Top,0
ATTINY841-4N1,84.325,-187.5,Top,0
ATTINY841-4P1,215.9,-196.6,Top,180
ATTINY841-5P1,83.7,-153.5,Top,0
ATTINY841-6N1,84.7,-119.5,Top,0
ATTINY841-6P1,216.2,-128.6,Top,180
ATTINY841-7N1,215.2,-94.6,Top,180
ATTINY841-7P1,83.75,-85.5,Top,0
ATTINY841-52,215.3,-162.5,Top,180
C1101,83.9,-283.7,Top,0
C1102,83.9,-281.7,Top,0
C1103,74.2,-287.6,Top,180
C1104,74.2,-283.8,Top,180
C1201,215.2,-305,Top,180
C1202,215.2,-307,Top,180
C1203,225,-300.6,Top,0
C1204,225,-304.2,Top,0
C2101,215.8,-271.5,Top,180
C2102,215.8,-273.5,Top,180
C2103,225.4,-266.5,Top,0
C2104,225.4,-270.3,Top,0
C2201,84.3,-249.8,Top,0
C2202,84.3,-247.7,Top,0
C2203,74.5,-253.5,Top,180
C2204,74.6,-250.1,Top,180
C3101,83.4,-215.7,Top,0
C3102,83.4,-213.5,Top,0
C3103,73.8,-219.6,Top,180
C3104,73.8,-215.9,Top,180
C3201,214.9,-237.5,Top,0
C3202,214.9,-239.5,Top,0
C3203,224.7,-232.5,Top,0
C3204,224.7,-236.3,Top,0
C4101,215.8,-203.5,Top,180
C4102,215.8,-205.5,Top,180
C4103,225.4,-198.5,Top,0
C4104,225.4,-202.2,Top,0
C4201,84.3,-181.8,Top,0
C4202,84.3,-179.7,Top,0
C4203,74.6,-185.6,Top,180
C4204,74.6,-181.9,Top,180
C5101,83.8,-147.8,Top,0
C5102,83.8,-145.7,Top,0
C5103,74.2,-151.5,Top,180
C5104,74.2,-147.8,Top,180
C5201,215.3,-169.5,Top,180
C5202,215.3,-171.5,Top,180
C5203,225,-164.5,Top,0
C5204,225.05,-168.2,Top,0
C6101,216.2,-135.5,Top,180
C6102,216.2,-137.5,Top,180
C6103,225.7,-130.5,Top,0
C6104,225.75,-134.2,Top,0
C6201,84.7,-113.7,Top,0
C6202,84.7,-111.7,Top,0
C6203,75,-117.5,Top,180
C6204,75,-113.8,Top,180
C7101,83.8,-79.8,Top,0
C7102,83.8,-77.7,Top,0
C7103,74.2,-83.5,Top,180
C7104,74.2,-79.8,Top,180
C7201,215.2,-101.5,Top,180
C7202,215.2,-103.5,Top,180
C7203,225,-96.6,Top,0
C7204,225,-100.2,Top,0
D1100,90.6,-304,Top,180
D1101,97.1,-286.2,Top,0
D1102,80.5375,-304.9,Top,180
D1103,70.7,-307.1,Top,180
D1200,207.5,-304,Top,180
D1201,222.8,-283,Top,0
D1202,211,-280.6,Top,0
D1203,227,-282.8,Top,90
D2100,209.2,-250.1,Top,0
D2101,202.5,-267.8,Top,180
D2102,219,-249.1,Top,0
D2103,228.9,-247.1,Top,0
D2200,92.1,-250.4,Top,0
D2201,76.7,-271,Top,180
D2202,88.7375,-273.5,Top,180
D2203,72.6,-271.2375,Top,-90
D3100,90.1,-236,Top,180
D3101,97,-218.2,Top,0
D3102,80.2,-237,Top,180
D3103,70.5,-239.1,Top,180
D3200,207.1,-236,Top,180
D3201,222.5,-215.1,Top,0
D3202,210.5,-212.7,Top,0
D3203,226.6,-214.8,Top,90
D4100,209.2,-182.1,Top,0
D4101,202,-199.8,Top,180
D4102,219.0375,-181.1,Top,0
D4103,228.9,-179,Top,0
D4200,92.2,-182.4,Top,0
D4201,76.7,-203,Top,180
D4202,88.8,-205.5,Top,180
D4203,72.6,-203.2625,Top,-90
D5100,90.4,-168,Top,180
D5101,97.1,-150.2,Top,0
D5102,80.6375,-168.9,Top,180
D5103,70.7,-171.1,Top,180
D5200,207.6,-168.5,Top,180
D5201,222.9,-147,Top,0
D5202,210.9,-144.6,Top,0
D5203,226.8,-146.7625,Top,90
D6100,209.6,-114,Top,0
D6101,202.5,-131.8,Top,180
D6102,219.4,-113.1,Top,0
D6103,229.1625,-111,Top,0
D6200,92.6,-114.3,Top,0
D6201,77.1,-135,Top,180
D6202,89.1,-137.5,Top,180
D6203,73,-135.2,Top,-90
D7100,90.4,-100,Top,180
D7101,97,-82.2,Top,0
D7102,80.6,-101,Top,180
D7103,71,-103.25,Top,180
D7200,207.5,-99.7,Top,180
D7201,222.8,-79,Top,0
D7202,211,-76.6,Top,0
D7203,227,-78.8,Top,90
F11,98.2,-302,Top,0
F12,202.8,-299.7,Top,0
F21,202.2,-251.7,Top,180
F22,97.5,-254.6,Top,180
F31,97.2,-234.3,Top,0
F32,202,-231.5,Top,0
F41,201.9625,-183.8,Top,180
F42,97.4,-186.6,Top,180
F51,97.5,-166.2,Top,0
F52,202.3,-163.9,Top,0
F61,202.8,-115.9,Top,180
F62,97.6,-118.5,Top,180
F71,97.2,-98.2,Top,0
F72,203.5,-95.4,Top,0
J1N1,213.075,-291.275,Top,90
J1P1,86.04,-296.76,Top,-90
J2N1,86.525,-262.725,Top,-90
J2P1,213.56,-257.3,Top,90
J3N1,212.675,-223.275,Top,90
J3P1,85.6,-228.8,Top,-90
J4N1,86.5,-194.8,Top,-90
J4P1,213.6,-189.3,Top,90
J5N1,213.1,-155.3,Top,90
J5P1,86.025,-160.725,Top,-90
J6N1,86.94,-126.7,Top,-90
J6P1,213.975,-121.275,Top,90
J7N1,213.075,-87.275,Top,90
J7P1,86,-92.75,Top,-90
Q11,71,-294.3,Top,180
Q12,228.4,-293.6,Top,0
Q21,228.6,-259.8,Top,0
Q22,71.6,-260.4,Top,180
Q31,70.6,-226.3,Top,180
Q32,227.6,-225.7,Top,0
Q41,228.5,-191.8,Top,0
Q42,71.6,-192.4,Top,180
Q51,71.1,-158.3,Top,180
Q52,228.013722,-157.721284,Top,0
Q61,228.9,-123.7,Top,0
Q62,71.9,-124.4,Top,180
Q71,71,-90.25,Top,180
Q72,228.4,-89.6,Top,0
R1101,76.9,-300.3125,Top,90
R1102,54.8,-289.9,Top,-90
R1103,89.9875,-299.1,Top,0
R1104,92.0875,-287.4,Top,0
R1105,77.2,-294.8125,Top,90
R1106,78.4,-290.7125,Top,90
R1107,84.4,-304.9,Top,180
R1108,90,-296.9,Top,0
R1109,71.9,-301.7,Top,-90
R1110,46.6,-303.1,Top,0
R1111,54.925,-303.1,Top,0
R1112,63.3,-303.1,Top,0
R1113,46.6,-294.3,Top,0
R1114,54.925,-294.3,Top,0
R1115,63.3,-294.3,Top,0
R1116,46.6,-284.5,Top,0
R1117,54.925,-284.5,Top,0
R1118,63.3,-284.5,Top,0
R1119,74.1,-296.5,Top,-90
R1120,74.1,-293,Top,90
R1121,90.6,-289.5,Top,180
R1122,98.2,-281.9,Top,0
R1201,221.8,-287.4,Top,-90
R1202,244.375,-289.725,Top,-90
R1203,208.8,-288.6,Top,180
R1204,223.9,-287.4,Top,90
R1205,221.8,-293.2,Top,-90
R1206,220.2,-297.1875,Top,-90
R1207,207.5,-280.6,Top,0
R1208,208.8,-291,Top,180
R1209,227,-286.2125,Top,90
R1210,252.75,-284.5,Top,180
R1211,244.2875,-284.5,Top,180
R1212,235.825,-284.5,Top,180
R1213,252.75,-294.3,Top,180
R1214,244.2875,-294.3,Top,180
R1215,235.825,-294.3,Top,180
R1216,252.75,-303.1,Top,180
R1217,244.2875,-303.1,Top,180
R1218,235.825,-303.1,Top,180
R1219,225,-291.4,Top,90
R1220,225,-295,Top,-90
R1221,205.8,-289.0875,Top,-90
R1222,208.8,-286,Top,0
R2101,222.7,-253.8125,Top,-90
R2102,244.8,-264.2125,Top,90
R2103,209.6,-255,Top,180
R2104,207.4875,-266.6,Top,180
R2105,222.5,-259.2,Top,-90
R2106,221.5,-263.3125,Top,-90
R2107,215.2,-249.1,Top,0
R2108,209.6,-257.2,Top,180
R2109,227.6125,-252.3,Top,90
R2110,252.75,-269.5,Top,180
R2111,244.2875,-269.5,Top,180
R2112,235.825,-269.5,Top,180
R2113,252.75,-259.8,Top,180
R2114,244.2875,-259.8,Top,180
R2115,235.825,-259.8,Top,180
R2116,252.75,-251.1,Top,180
R2117,244.2875,-251.1,Top,180
R2118,235.825,-251.1,Top,180
R2119,225.5,-257.5,Top,90
R2120,225.5,-261,Top,-90
R2121,208.9,-264.6,Top,0
R2122,201.4125,-272.1,Top,180
R2201,77.8,-266.5,Top,90
R2202,55.2,-264.4,Top,90
R2203,90.7875,-265,Top,0
R2204,75.7,-266.5,Top,-90
R2205,77.7,-260.8,Top,90
R2206,79.4,-256.9125,Top,90
R2207,92.2,-273.5,Top,180
R2208,90.7875,-262.5,Top,0
R2209,72.6,-267.6,Top,-90
R2210,46.6,-269.5,Top,0
R2211,54.925,-269.5,Top,0
R2212,63.3,-269.5,Top,0
R2213,46.6,-259.8,Top,0
R2214,54.925,-259.8,Top,0
R2215,63.3,-259.8,Top,0
R2216,46.6,-251.1,Top,0
R2217,54.925,-251.1,Top,0
R2218,63.3,-251.1,Top,0
R2219,74.6,-262.4,Top,-90
R2220,74.6,-258.8,Top,90
R2221,93.8,-264.9875,Top,90
R2222,90.8,-267.5,Top,180
R3101,76.5,-232.3,Top,90
R3102,54.4,-221.9,Top,-90
R3103,89.6,-231,Top,0
R3104,91.7,-219.4,Top,0
R3105,76.7,-226.8125,Top,90
R3106,78.1,-222.7125,Top,90
R3107,84,-237,Top,180
R3108,89.6,-228.9,Top,0
R3109,71.5,-233.8,Top,-90
R3110,46.6,-235.5,Top,0
R3111,54.925,-235.5,Top,0
R3112,63.3,-235.5,Top,0
R3113,46.6,-226.4,Top,0
R3114,54.925,-226.4,Top,0
R3115,63.3,-226.4,Top,0
R3116,46.6,-217.3,Top,0
R3117,54.925,-217.3,Top,0
R3118,63.3,-217.3,Top,0
R3119,73.7,-228.5,Top,-90
R3120,73.7,-225,Top,90
R3121,90.2125,-221.4,Top,180
R3122,97.8,-213.9,Top,0
R3201,221.4,-219.6,Top,-90
R3202,244,-221.7,Top,-90
R3203,208.3875,-220.6,Top,180
R3204,223.5,-219.6,Top,90
R3205,221.5,-225.3,Top,-90
R3206,219.9,-229.1,Top,-90
R3207,207.1,-212.7,Top,0
R3208,208.4,-223.2,Top,180
R3209,226.6,-218.4,Top,90
R3210,252.75,-217.3,Top,180
R3211,244.2875,-217.3,Top,180
R3212,235.825,-217.3,Top,180
R3213,252.75,-226.4,Top,180
R3214,244.2875,-226.4,Top,180
R3215,235.825,-226.4,Top,180
R3216,252.75,-235.5,Top,180
R3217,244.2875,-235.5,Top,180
R3218,235.825,-235.5,Top,180
R3219,224.6,-223.4,Top,90
R3220,224.6,-226.9875,Top,-90
R3221,205.3,-221.1,Top,-90
R3222,208.4125,-218,Top,0
