Comment,Designator,Footprint,LCSC
ATtiny841-SSU,"ATTINY841-1P1,ATTINY841-1N1,ATTINY841-2P1,ATTINY841-2N1,ATTINY841-3P1,ATTINY841-3N1,ATTINY841-4P1,ATTINY841-4N1,ATTINY841-5P1,ATTINY841-52,ATTINY841-6P1,ATTINY841-6N1,ATTINY841-7P1,ATTINY841-7N1",Package_SO:SOIC-14_3.9x8.7mm_P1.27mm,C219103
1uF,"C1101,C1201,C2101,C2201,C3101,C3201,C4101,C4201,C5101,C5201,C6101,C6201,C7101,C7201",Capacitor_SMD:C_0805_2012Metric,C28323
100nF,"C1102,C1202,C2102,C2202,C3102,C3202,C4102,C4202,C5102,C5202,C6102,C6202,C7102,C7202",Capacitor_SMD:C_0805_2012Metric,C49678
22pF,"C1103,C1104,C1203,C1204,C2103,C2104,C2203,C2204,C3103,C3104,C3203,C3204,C4103,C4104,C4203,C4204,C5103,C5104,C5203,C5204,C6103,C6104,C6203,C6204,C7103,C7104,C7203,C7204",Capacitor_SMD:C_0805_2012Metric,C1804
SMBJ5.0A,"D1100,D1200,D2100,D2200,D3100,D3200,D4100,D4200,D5100,D5200,D6100,D6200,D7100,D7200",Diode_SMD:D_SMB,C440263
AZ432ANTR-E1,"D1101,D1201,D2101,D2201,D3101,D3201,D4101,D4201,D5101,D5201,D6101,D6201,D7101,D7201",Package_TO_SOT_SMD:SOT-23,C84139
DATA,"D1102,D1202,D2102,D2202,D3102,D3202,D4102,D4202,D5102,D5202,D6102,D6202,D7102,D7202",LED_SMD:LED_0805_2012Metric,C84259
DUMP,"D1103,D1203,D2103,D2203,D3103,D3203,D4103,D4203,D5103,D5203,D6103,D6203,D7103,D7203",LED_SMD:LED_0805_2012Metric,C84256
mSMD150,"F11,F12,F21,F22,F31,F32,F41,F42,F51,F52,F61,F62,F71,F72",Fuse:Fuse_1812_4532Metric,C70121
AO3400A,"Q11,Q12,Q21,Q22,Q31,Q32,Q41,Q42,Q51,Q52,Q61,Q62,Q71,Q72",Package_TO_SOT_SMD:SOT-23,C20917
10K,"R1101,R1103,R1108,R1120,R1201,R1203,R1208,R1220,R2101,R2103,R2108,R2120,R2201,R2203,R2208,R2220,R3101,R3103,R3108,R3120,R3201,R3203,R3208,R3220,R4101,R4103,R4108,R4120,R4201,R4203,R4208,R4220,R5101,R5103,R5108,R5120,R5201,R5203,R5208,R5220,R6101,R6103,R6108,R6120,R6201,R6203,R6208,R6220,R7101,R7103,R7108,R7120,R7201,R7203,R7208,R7220",Resistor_SMD:R_0805_2012Metric,C17414
CMFB103F3950FANT,"R1102,R1202,R2102,R2202,R3102,R3202,R4102,R4202,R5102,R5202,R6102,R6202,R7102,R7202",Resistor_SMD:R_0805_2012Metric,C51597
1K,"R1104,R1204,R2104,R2204,R3104,R3204,R4104,R4204,R5104,R5204,R6104,R6204,R7104,R7204",Resistor_SMD:R_0805_2012Metric,C17513
6.8K,"R1105,R1205,R2105,R2205,R3105,R3205,R4105,R4205,R5105,R5205,R6105,R6205,R7105,R7205",Resistor_SMD:R_0805_2012Metric,C17772
2.7K,"R1106,R1206,R2106,R2206,R3106,R3206,R4106,R4206,R5106,R5206,R6106,R6206,R7106,R7206",Resistor_SMD:R_0805_2012Metric,C17530
2K2,"R1107,R1109,R1207,R1209,R2107,R2109,R2207,R2209,R3107,R3109,R3207,R3209,R4107,R4109,R4207,R4209,R5107,R5109,R5207,R5209,R6107,R6109,R6207,R6209,R7107,R7109,R7207,R7209",Resistor_SMD:R_0805_2012Metric,C17520
3.3OHM 3/4W,"R1110,R1111,R1112,R1113,R1114,R1115,R1116,R1117,R1118,R1210,R1211,R1212,R1213,R1214,R1215,R1216,R1217,R1218,R2110,R2111,R2112,R2113,R2114,R2115,R2116,R2117,R2118,R2210,R2211,R2212,R2213,R2214,R2215,R2216,R2217,R2218,R3110,R3111,R3112,R3113,R3114,R3115,R3116,R3117,R3118,R3210,R3211,R3212,R3213,R3214,R3215,R3216,R3217,R3218,R4110,R4111,R4112,R4113,R4114,R4115,R4116,R4117,R4118,R4210,R4211,R4212,R4213,R4214,R4215,R4216,R4217,R4218,R5110,R5111,R5112,R5113,R5114,R5115,R5116,R5117,R5118,R5210,R5211,R5212,R5213,R5214,R5215,R5216,R5217,R5218,R6110,R6111,R6112,R6113,R6114,R6115,R6116,R6117,R6118,R6210,R6211,R6212,R6213,R6214,R6215,R6216,R6217,R6218,R7110,R7111,R7112,R7113,R7114,R7115,R7116,R7117,R7118,R7210,R7211,R7212,R7213,R7214,R7215,R7216,R7217,R7218",Resistor_SMD:R_2010_5025Metric,C270971
510R,"R1119,R1219,R2119,R2219,R3119,R3219,R4119,R4219,R5119,R5219,R6119,R6219,R7119,R7219",Resistor_SMD:R_0805_2012Metric,C17734
220,"R1121,R1221,R2121,R2221,R3121,R3221,R4121,R4221,R5121,R5221,R6121,R6221,R7121,R7221",Resistor_SMD:R_0805_2012Metric,0805W8F2200T5E
4K7,"R1122,R1222,R2122,R2222,R3122,R3222,R4122,R4222,R5122,R5222,R6122,R6222,R7122,R7222",Resistor_SMD:R_0805_2012Metric,C441984
EL3H7(B)(TA)-G,"U102,U104,U202,U204,U302,U304,U402,U404,U502,U504,U602,U604,U702,U704",Package_SO:SOP-4_4.4x2.6mm_P1.27mm,C32565
8MHZ Ceramic Resonator,"Y11,Y12,Y21,Y22,Y31,Y32,Y41,Y42,Y51,Y52,Y61,Y62,Y71,Y72",Crystal:Crystal_SMD_5032-2Pin_5.0x3.2mm,C115962
